,Item,Mean,SD,Min,Max,Percentile rank of 2.0,Percentile rank of -2.0,Percentile (95th),Percentile (5th)
0,1,-0.016675333,0.99737095,-4.465316495,4.892854107,97.604,2.156,1.643042089,-1.632007471
1,2,-0.016881586,1.001707533,-4.441552248,4.329352474,97.523,2.157,1.655924577,-1.629919864
2,3,-0.01176422,0.995165833,-3.94154059,4.558449487,97.651,2.061,1.645818812,-1.626787689
3,4,-0.02372044,1.00088179,-3.756741239,4.318665551,97.645,2.176,1.64009939,-1.651914098
4,5,-0.011986613,1.000310663,-4.974083491,4.795340515,97.589,2.233,1.652737508,-1.644149769
5,6,-0.016412383,0.998567772,-4.101821133,5.754692516,97.686,2.139,1.641014437,-1.650580305
6,7,-0.01582532,1.000508888,-4.177234626,5.245491451,97.587,2.111,1.656676809,-1.632388764
7,8,-0.029308362,0.999227376,-3.713024113,4.502345264,97.638,2.19,1.634828733,-1.650363279
8,9,-0.01906761,0.999980475,-4.372898032,4.372822564,97.613,2.17,1.643672343,-1.638413945
9,10,-0.016209501,0.996500481,-4.036613836,4.1575239,97.626,2.108,1.64365757,-1.632944637
10,11,-0.030465368,0.997629429,-4.17960735,4.454128467,97.662,2.191,1.63717928,-1.647616078
11,12,-0.020811802,1.000325348,-4.122858258,4.585753261,97.63,2.14,1.64773596,-1.636744285
12,13,-0.015791813,0.998281823,-3.915142575,4.676283614,97.61,2.162,1.654668294,-1.633863
13,14,-0.035649605,0.995934096,-4.026012409,4.691527874,97.581,2.209,1.633810002,-1.647351745
14,15,-0.021439919,1.001794374,-4.117499701,4.573232326,97.625,2.21,1.646081669,-1.647266667
15,16,-0.017185115,0.99683105,-4.068180791,4.298468892,97.611,2.111,1.64437067,-1.631600025
16,17,-0.012695246,1.003829916,-4.579920128,4.300299521,97.654,2.25,1.653945305,-1.650898309
17,18,-0.020265141,0.998345706,-3.919614808,4.20721131,97.649,2.156,1.650612117,-1.643486074
18,19,-0.011462357,1.004782788,-4.253548159,4.210652317,97.554,2.149,1.668306072,-1.641341348
19,20,-0.025291715,0.999238316,-4.248179379,4.55634555,97.647,2.176,1.639137045,-1.651551455
20,21,-0.016636427,1.003406312,-4.485897378,4.634046989,97.58,2.191,1.653226752,-1.644997603
21,22,-0.019186268,1.002701888,-3.947306083,4.762509074,97.616,2.191,1.655706346,-1.645532893
22,23,-0.016001679,1.001257349,-4.217000798,4.349142498,97.585,2.22,1.647314942,-1.646768938
23,24,-0.035021843,0.998760954,-4.000001295,4.242295179,97.625,2.166,1.636488641,-1.647632139
24,25,-0.018047116,0.999027036,-3.899404499,4.497102496,97.58,2.176,1.643618904,-1.638282955
25,26,-0.027592502,1.001517493,-4.115737184,4.658362235,97.665,2.311,1.636476077,-1.662266486
26,27,-0.014041567,1.00137226,-3.890085126,4.422813515,97.679,2.234,1.642887366,-1.649391876
27,28,-0.014023926,1.002613471,-4.196527528,4.504444457,97.666,2.235,1.645873215,-1.649477667
28,29,-0.025469459,0.998617969,-4.073764752,4.391737904,97.661,2.224,1.64288286,-1.65599936
29,30,-0.016204896,1.001144873,-4.56303126,4.850900265,97.658,2.213,1.636664357,-1.646138407
30,31,-0.01740456,1.002027576,-3.976669709,4.783115753,97.615,2.243,1.647237351,-1.648059222
31,32,-0.016032688,1.000554549,-4.747456978,4.520711946,97.649,2.198,1.646898275,-1.644124177
32,33,-0.025056843,0.997135525,-4.059570554,4.572200739,97.661,2.179,1.634254948,-1.63702041
33,34,-0.028557733,0.994781268,-3.836980942,4.793297077,97.73,2.096,1.641520486,-1.643245339
34,35,-0.015792004,0.998425047,-4.176828545,4.8663104,97.601,1.998,1.644811463,-1.626428746
35,36,-0.016573757,0.999130832,-3.917104986,4.388307072,97.534,2.126,1.653616029,-1.633993479
36,37,-0.024724682,0.999094848,-4.305533768,4.997179133,97.612,2.124,1.648925734,-1.637699747
37,38,-0.021819744,0.997186633,-3.896135073,4.462386229,97.679,2.057,1.648085011,-1.637548357
38,39,-0.04388943,0.995259582,-4.430709572,4.929534688,97.767,2.192,1.620855788,-1.653063224
39,40,-0.00916462,0.999099178,-4.155831366,4.789423085,97.59,2.111,1.650215011,-1.632695984
40,41,-0.021210338,1.002162521,-4.330024965,4.409833169,97.581,2.245,1.647094639,-1.63797401
41,42,-0.023335768,0.999876611,-4.510200693,4.74051824,97.583,2.109,1.655603355,-1.634398035
42,43,-0.010126703,1.006871247,-4.238577285,4.164730423,97.558,2.226,1.666948639,-1.646871776
43,44,-0.014509761,0.995701436,-3.963409287,4.70554735,97.612,2.042,1.654656142,-1.622832972
44,45,-0.040106731,0.993000678,-4.289183336,4.443743669,97.74,2.119,1.620334195,-1.6445153
45,46,-0.016565361,0.996453159,-4.067542484,4.596841285,97.655,2.076,1.643723715,-1.633187003
46,47,-0.008841368,1.001899706,-4.304394201,4.313561916,97.524,2.125,1.659697871,-1.637426037
47,48,-0.009341532,1.004859077,-4.25927584,4.188420361,97.576,2.22,1.670045069,-1.642726719
48,49,-0.029523815,0.996668143,-4.236081541,4.413574791,97.639,2.114,1.644284238,-1.632769508
49,50,-0.015877038,0.994715464,-4.171803111,4.310284546,97.712,2.092,1.643211751,-1.635130857
,,,,,,97.62636,2.16216,1.646329557,-1.641387761
